subject,frame_number,detected,AU01_truth,AU02_truth,AU04_truth,AU05_truth,AU06_truth,AU09_truth,AU12_truth,AU15_truth,AU17_truth,AU20_truth,AU25_truth,AU26_truth,AU01_prediction,AU02_prediction,AU04_prediction,AU05_prediction,AU06_prediction,AU09_prediction,AU12_prediction,AU15_prediction,AU17_prediction,AU20_prediction,AU25_prediction,AU26_prediction
SN001,5,True,0,0,0,0,0,0,2,0,0,0,0,0,0.11953456699848175,0.014826707541942596,0.0,0.0,0.0,0.0,0.9941754937171936,0.04505223408341408,0.0557805672287941,0.0,0.1842765063047409,0.19856543838977814
SN001,27,True,0,0,0,0,0,0,2,0,0,0,0,0,0.18488767743110657,0.026361335068941116,0.08568909019231796,0.0,0.003925554919987917,0.0,0.995087742805481,0.03200563043355942,0.046101633459329605,0.0,0.2026216983795166,0.20890483260154724
SN001,54,True,0,0,0,0,0,0,2,0,0,0,0,0,0.21224357187747955,0.025456340983510017,0.13598640263080597,0.0,0.0,0.0,0.9947234392166138,0.04764516279101372,0.04493045061826706,0.0,0.08818863332271576,0.11924438923597336
SN001,59,True,0,0,0,0,0,0,2,0,0,0,0,0,0.21240435540676117,0.035589635372161865,0.09698878228664398,0.0,0.0016438070451840758,0.0,0.9941650629043579,0.03298576548695564,0.02365097776055336,0.0,0.10311604291200638,0.1987064629793167
SN001,95,True,0,0,0,0,0,0,2,0,0,0,0,0,0.3762143850326538,0.09308847039937973,0.14287972450256348,0.006202941760420799,0.0,0.0,0.9908589124679565,0.011772578582167625,0.012191365472972393,0.0,0.07283236086368561,0.09109138697385788
SN001,160,True,0,0,0,0,0,0,2,0,0,0,0,0,0.20968037843704224,0.032300762832164764,0.039096489548683167,0.0,0.0,0.0,0.9939578175544739,0.013095383532345295,0.013318393379449844,0.0,0.08929993957281113,0.025735430419445038
SN001,173,True,0,0,0,0,0,0,2,0,0,0,0,0,0.16579554975032806,0.03215795382857323,0.079531230032444,0.0,0.0,0.0,0.9935175180435181,0.014799995347857475,0.006431371904909611,0.0,0.0784057080745697,0.03448878973722458
SN001,205,True,0,0,0,0,0,0,2,0,0,0,0,0,0.16572831571102142,0.0323910228908062,0.06341790407896042,0.0,0.004729331471025944,0.0,0.9945880174636841,0.01434781588613987,0.006885917391628027,0.0,0.10807672142982483,0.028397858142852783
SN001,218,True,0,0,0,0,0,0,2,0,0,0,0,0,0.16655771434307098,0.03393986448645592,0.09018323570489883,0.0,0.004226113669574261,0.0,0.9944021701812744,0.008446946740150452,0.01868395507335663,0.0,0.0796293169260025,0.03703607618808746
SN001,245,True,0,0,0,0,0,0,3,0,0,0,0,0,0.13698263466358185,0.033742718398571014,0.11104575544595718,0.0,0.06365256756544113,0.0012058001011610031,0.9950854182243347,0.005980505142360926,0.02189013920724392,0.0,0.15163521468639374,0.0
SN001,258,True,0,0,0,0,0,0,3,0,0,0,0,0,0.1310342252254486,0.029615523293614388,0.055813565850257874,0.0,0.05943422392010689,0.002733709057793021,0.993553876876831,0.0,0.03406241908669472,0.0,0.18592549860477448,0.0
SN001,261,True,0,0,0,0,0,0,3,0,0,0,0,0,0.168757364153862,0.031248528510332108,0.09214518219232559,0.0,0.06911362707614899,0.0,0.9956031441688538,0.005676330998539925,0.03705855831503868,0.0,0.16276074945926666,0.0028014578856527805
SN001,263,True,0,0,0,0,0,0,3,0,0,0,0,0,0.15068428218364716,0.03641054406762123,0.07666333764791489,0.0,0.050244104117155075,0.0,0.9933561682701111,0.00139509211294353,0.02741999365389347,0.0,0.12347128987312317,0.0
SN001,356,True,0,0,0,0,0,0,3,0,0,0,0,0,0.1740906983613968,0.0729740709066391,0.11399012804031372,0.0,0.02387281507253647,0.0,0.9941594004631042,0.0,0.049404021352529526,0.0,0.07585668563842773,0.022972717881202698
SN001,376,True,0,0,0,0,0,0,1,0,0,0,0,0,0.1404515951871872,0.03974959999322891,0.05284988880157471,0.0,0.0,0.0,0.9677512049674988,0.020162247121334076,0.0,0.0,0.04632316529750824,0.024027351289987564
SN001,386,True,0,0,0,0,0,0,1,0,0,0,0,0,0.15011946856975555,0.029599467292428017,0.06138799712061882,0.0,0.0,0.0,0.9062593579292297,0.012835378758609295,0.0,0.0,0.10035274922847748,0.03931272774934769
SN001,459,True,0,0,0,0,0,0,0,0,0,0,0,0,0.017241889610886574,0.008321435190737247,0.09381084144115448,0.0,0.0,0.0,0.04306834563612938,0.017165226861834526,0.0,0.00048062443966045976,0.0,0.19712305068969727
SN001,475,True,0,0,0,0,0,0,0,0,0,0,0,0,0.014719548635184765,0.015049195848405361,0.13397404551506042,0.0,0.0,0.0,0.09209629893302917,0.02273068018257618,0.0,0.006935277953743935,0.014543638564646244,0.1512581706047058
SN001,483,True,0,0,0,0,0,0,0,0,0,0,0,0,0.013966185040771961,0.010951912961900234,0.1078166589140892,0.0,0.0,0.0,0.05942367762327194,0.03448708727955818,0.0,0.007504066918045282,0.0,0.1545727699995041
SN001,521,True,0,0,0,0,0,0,0,0,0,0,0,0,0.05730057135224342,0.015948884189128876,0.09591270238161087,0.0,0.0,0.0,0.03553231805562973,0.03616693243384361,0.0,0.0,0.0,0.16047433018684387
SN001,525,True,0,0,0,0,0,0,0,0,0,0,0,0,0.06733815371990204,0.012510686181485653,0.12979185581207275,0.0,0.0,0.0,0.06891059875488281,0.024543002247810364,0.0,0.0005797221092507243,0.036602552980184555,0.1408386379480362
SN001,543,True,0,0,0,0,0,0,0,0,0,0,0,0,0.03914480283856392,0.014998368918895721,0.11277417093515396,0.0,0.0,0.0,0.07371436804533005,0.03258928656578064,0.0,0.004589138552546501,0.030928362160921097,0.23199501633644104
SN001,553,True,0,0,0,0,0,0,0,0,0,0,0,0,0.02501799911260605,0.016002563759684563,0.13861021399497986,0.0,0.0,0.0,0.03911770135164261,0.033046968281269073,0.0,0.005454567726701498,0.032084871083498,0.138764426112175
SN001,567,True,0,0,0,0,0,0,0,0,0,0,0,0,0.011745457537472248,0.02139563299715519,0.11489099264144897,0.0,0.0,0.0,0.040418535470962524,0.030494961887598038,0.0,0.005117279943078756,0.0,0.18410663306713104
SN001,570,True,0,0,0,0,0,0,0,0,0,0,0,0,0.016712019219994545,0.014541381038725376,0.0892232358455658,0.0,0.0,0.0,0.03433894366025925,0.01088656298816204,0.0,0.0030654328875243664,0.0,0.14084605872631073
SN001,581,True,0,0,0,0,0,0,0,0,0,0,0,0,0.0011503684800118208,0.014402066357433796,0.08054525405168533,0.0,0.0,0.0,0.02029794082045555,0.0030653902795165777,0.0,0.004344228655099869,0.0,0.19216278195381165
SN001,582,True,0,0,0,0,0,0,0,0,0,0,0,0,0.010755693539977074,0.014124897308647633,0.09862460196018219,0.0,0.0,0.0,0.026108339428901672,0.0027856314554810524,0.0,0.005622787866741419,0.0,0.27926313877105713
SN001,585,True,0,0,0,0,0,0,0,0,0,0,0,0,0.009247560054063797,0.01458653062582016,0.08485676348209381,0.0,0.0,0.0002721741038840264,0.016445713117718697,0.0,0.0,0.004545086529105902,0.0,0.24051128327846527
SN001,646,True,0,0,0,0,0,0,0,0,0,0,0,0,0.016863852739334106,0.011865287087857723,0.12138598412275314,0.0,0.0,0.0,0.03422652930021286,0.03086157701909542,0.0,0.00666443258523941,0.0,0.2733387351036072
SN001,654,True,0,0,0,0,0,0,0,0,0,0,0,0,0.02621135301887989,0.011987373232841492,0.09780064970254898,0.0,0.0,0.0,0.03363313525915146,0.0,0.0,0.007013563998043537,0.03482741862535477,0.28315311670303345
SN001,702,True,0,0,0,0,0,0,0,0,0,0,0,0,0.04526909440755844,0.018057966604828835,0.09712576121091843,0.0,0.0,0.0,0.08971522003412247,0.0013055586023256183,0.0,0.0004041339852847159,0.05775008723139763,0.22156772017478943
SN001,713,True,0,0,0,0,0,0,0,0,0,0,0,0,0.022303078323602676,0.018197499215602875,0.10934688150882721,0.0,0.0,0.0,0.07274803519248962,0.030813366174697876,0.0,0.0024351526517421007,0.055555518716573715,0.2120518535375595
SN001,745,True,0,0,0,0,0,0,0,0,0,0,0,0,0.03935188055038452,0.02918270230293274,0.09374946355819702,0.0,0.0,0.0,0.13621194660663605,0.02941235713660717,0.0,0.0,0.08659447729587555,0.21000492572784424
SN001,760,True,0,0,0,0,0,0,0,0,0,0,0,0,0.029656367376446724,0.02061540260910988,0.04924081265926361,0.0,0.0,0.0,0.12151584774255753,0.005216248799115419,0.0,0.0,0.03089805506169796,0.22884604334831238
SN001,768,True,0,0,0,0,0,0,0,0,0,0,0,0,0.008227594196796417,0.02965916134417057,0.08565806597471237,0.0,0.0,0.0,0.0759519711136818,0.023115726187825203,0.0,0.0,0.0,0.24996830523014069
SN001,793,True,0,0,0,0,0,0,0,0,0,0,0,0,0.023894768208265305,0.019007310271263123,0.0834631472826004,0.0,0.0,0.0,0.07884131371974945,0.011240384541451931,0.0,0.001751587842591107,0.03589382767677307,0.29315099120140076
SN001,828,True,0,0,0,0,0,0,0,0,0,0,0,0,0.03953128680586815,0.02357466146349907,0.0845649391412735,0.0,0.0,0.0,0.09357980638742447,0.013309120200574398,0.0,0.0,0.014564229175448418,0.3271057903766632
